asset_label,asset_name,currency,base_name,region,etp_ticker,broad_index_ticker,fund_type,lambda_init,alpha_init,psi_init,beta_c_bounds,beta_bounds,etp_description,broad_index_description
AUD | Debt - Mezzanine - AUD,Debt - Mezzanine - AUD,AUD,Debt - Mezzanine,APAC,EMB,ACWI,Private Credit,0.85,0.002,0.25,"[0.0, 100.0]","[0.3, 100.0]",iShares JP Morgan USD Emerging Markets Bond ETF. Proxy for higher-risk emerging market private credit exposure.,Market component: EMB. Downloaded via Yahoo using ACWI as a liquid tracker for the index.
AUD | Debt - Senior - AUD,Debt - Senior - AUD,AUD,Debt - Senior,APAC,SRLN,EMB,Private Credit,0.85,0.002,0.25,"[0.0, 100.0]","[0.3, 100.0]",SPDR Blackstone Senior Loan ETF tracking senior secured leveraged loans. Proxy for non-US senior direct lending.,Market component: EMB. Downloaded via Yahoo using EMB as a liquid tracker for the index.
AUD | Eq - Buyout + Expansion - AUD,Eq - Buyout + Expansion - AUD,AUD,Eq - Buyout + Expansion,APAC,EPP,VPL,Private Equity,0.7,0.005,0.3,"[0.0, 100.0]","[0.6, 100.0]",iShares MSCI Pacific ex-Japan ETF. Proxy for APAC buyout and venture exposure.,Market component: VPL. Downloaded via Yahoo using VPL as a liquid tracker for the index.
AUD | Venture Capital - AUD,Venture Capital - AUD,AUD,Venture Capital,APAC,QQQM,VPL,Private Equity,0.7,0.005,0.3,"[0.0, 100.0]","[0.6, 100.0]",Invesco NASDAQ 100 ETF representing large-cap technology and growth stocks. Proxy for APAC venture-style growth exposure.,Market component: VPL. Downloaded via Yahoo using VPL as a liquid tracker for the index.
AUD | Infrastructure - AUD,Infrastructure - AUD,AUD,Infrastructure,APAC,EMIF,VPL,Private Real Assets,0.75,0.004,0.35,"[0.0, 100.0]","[0.5, 100.0]",iShares Emerging Markets Infrastructure ETF. Proxy for APAC and EM infrastructure exposure.,Market component: VPL. Downloaded via Yahoo using VPL as a liquid tracker for the index.
AUD | Timber - AUD,Timber - AUD,AUD,Timber,APAC,CUT,VPL,Private Real Assets,0.75,0.004,0.35,"[0.0, 100.0]","[0.5, 100.0]",Invesco MSCI Global Timber ETF. Alternative proxy for global timber exposure.,Market component: VPL. Downloaded via Yahoo using VPL as a liquid tracker for the index.
AUD | Real Estate - Ex-Value-Added - APAC - AUD,Real Estate - Ex-Value-Added - APAC - AUD,AUD,Real Estate - Ex-Value-Added - APAC,APAC,IASP.L,VPL,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares Asia Property Yield UCITS ETF. Proxy for APAC core real estate exposure.,Market component: VPL. Downloaded via Yahoo using VPL as a liquid tracker for the index.
AUD | Real Estate - Ex-Value-Added - Europe - AUD,Real Estate - Ex-Value-Added - Europe - AUD,AUD,Real Estate - Ex-Value-Added - Europe,Europe,IFGL,VGK,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares International Developed Real Estate ETF. Proxy for developed ex-US core real estate.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
AUD | Real Estate - Value-Added - Europe - AUD,Real Estate - Value-Added - Europe - AUD,AUD,Real Estate - Value-Added - Europe,Europe,RWX,VGK,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
AUD | Real Estate - All - UK - AUD,Real Estate - All - UK - AUD,AUD,Real Estate - All - UK,UK,RWX,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
AUD | Real Estate - Ex-Value-Added - UK - AUD,Real Estate - Ex-Value-Added - UK - AUD,AUD,Real Estate - Ex-Value-Added - UK,UK,IUKP.L,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares UK Property UCITS ETF. Proxy for UK core real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
AUD | Real Estate - Value-Added - UK - AUD,Real Estate - Value-Added - UK - AUD,AUD,Real Estate - Value-Added - UK,UK,RWX,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
AUD | Real Estate - All - USA - AUD,Real Estate - All - USA - AUD,AUD,Real Estate - All - USA,US,VNQ,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",Vanguard US Real Estate ETF representing US REITs. Proxy for core US real estate exposure.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
AUD | Real Estate - Ex-Value-Added - USA - AUD,Real Estate - Ex-Value-Added - USA - AUD,AUD,Real Estate - Ex-Value-Added - USA,US,VNQ,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",Vanguard US Real Estate ETF representing US REITs. Proxy for core US real estate exposure.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
AUD | Real Estate - Value-Added - USA - AUD,Real Estate - Value-Added - USA - AUD,AUD,Real Estate - Value-Added - USA,US,IYR,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares US Real Estate ETF with higher beta. Proxy for value-added US real estate strategies.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
CHF | Debt - Mezzanine - CHF,Debt - Mezzanine - CHF,CHF,Debt - Mezzanine,Europe,HYG,AGG,Private Credit,0.85,0.002,0.25,"[0.0, 100.0]","[0.3, 100.0]",iShares iBoxx High Yield Corporate Bond ETF representing below-investment-grade corporate credit. Proxy for mezzanine private credit outside the US.,Market component: IEAC. Downloaded via Yahoo using IEAC as a liquid tracker for the index.
CHF | Debt - Senior - CHF,Debt - Senior - CHF,CHF,Debt - Senior,Europe,SRLN,AGG,Private Credit,0.85,0.002,0.25,"[0.0, 100.0]","[0.3, 100.0]",SPDR Blackstone Senior Loan ETF tracking senior secured leveraged loans. Proxy for non-US senior direct lending.,Market component: IEAC. Downloaded via Yahoo using IEAC as a liquid tracker for the index.
CHF | Eq - Buyout + Expansion - CHF,Eq - Buyout + Expansion - CHF,CHF,Eq - Buyout + Expansion,Europe,SCZ,VGK,Private Equity,0.7,0.005,0.3,"[0.0, 100.0]","[0.6, 100.0]",iShares MSCI EAFE Small-Cap ETF representing developed ex-US small-cap equities. Proxy for European and Nordic buyout exposure.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
CHF | Venture Capital - CHF,Venture Capital - CHF,CHF,Venture Capital,Europe,SMH,VGK,Private Equity,0.7,0.005,0.3,"[0.0, 100.0]","[0.6, 100.0]",VanEck Semiconductor ETF representing high-growth technology hardware sector. Proxy for non-US venture exposure.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
CHF | Infrastructure - CHF,Infrastructure - CHF,CHF,Infrastructure,Europe,IGF,VGK,Private Real Assets,0.75,0.004,0.35,"[0.0, 100.0]","[0.5, 100.0]",iShares Global Infrastructure ETF investing in listed infrastructure companies globally. Proxy for core infrastructure assets.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
CHF | Timber - CHF,Timber - CHF,CHF,Timber,Europe,CUT,VGK,Private Real Assets,0.75,0.004,0.35,"[0.0, 100.0]","[0.5, 100.0]",Invesco MSCI Global Timber ETF. Alternative proxy for global timber exposure.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
CHF | Real Estate - Ex-Value-Added - APAC - CHF,Real Estate - Ex-Value-Added - APAC - CHF,CHF,Real Estate - Ex-Value-Added - APAC,APAC,IASP.L,VPL,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares Asia Property Yield UCITS ETF. Proxy for APAC core real estate exposure.,Market component: VPL. Downloaded via Yahoo using VPL as a liquid tracker for the index.
CHF | Real Estate - Ex-Value-Added - Europe - CHF,Real Estate - Ex-Value-Added - Europe - CHF,CHF,Real Estate - Ex-Value-Added - Europe,Europe,IFGL,VGK,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares International Developed Real Estate ETF. Proxy for developed ex-US core real estate.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
CHF | Real Estate - Value-Added - Europe - CHF,Real Estate - Value-Added - Europe - CHF,CHF,Real Estate - Value-Added - Europe,Europe,RWX,VGK,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
CHF | Real Estate - All - UK - CHF,Real Estate - All - UK - CHF,CHF,Real Estate - All - UK,UK,RWX,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
CHF | Real Estate - Ex-Value-Added - UK - CHF,Real Estate - Ex-Value-Added - UK - CHF,CHF,Real Estate - Ex-Value-Added - UK,UK,IUKP.L,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares UK Property UCITS ETF. Proxy for UK core real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
CHF | Real Estate - Value-Added - UK - CHF,Real Estate - Value-Added - UK - CHF,CHF,Real Estate - Value-Added - UK,UK,RWX,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
CHF | Real Estate - All - USA - CHF,Real Estate - All - USA - CHF,CHF,Real Estate - All - USA,US,VNQ,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",Vanguard US Real Estate ETF representing US REITs. Proxy for core US real estate exposure.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
CHF | Real Estate - Ex-Value-Added - USA - CHF,Real Estate - Ex-Value-Added - USA - CHF,CHF,Real Estate - Ex-Value-Added - USA,US,VNQ,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",Vanguard US Real Estate ETF representing US REITs. Proxy for core US real estate exposure.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
CHF | Real Estate - Value-Added - USA - CHF,Real Estate - Value-Added - USA - CHF,CHF,Real Estate - Value-Added - USA,US,IYR,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares US Real Estate ETF with higher beta. Proxy for value-added US real estate strategies.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
EUR | Debt - Mezzanine - EUR,Debt - Mezzanine - EUR,EUR,Debt - Mezzanine,Europe,HYG,AGG,Private Credit,0.85,0.002,0.25,"[0.0, 100.0]","[0.3, 100.0]",iShares iBoxx High Yield Corporate Bond ETF representing below-investment-grade corporate credit. Proxy for mezzanine private credit outside the US.,Market component: IEAC. Downloaded via Yahoo using IEAC as a liquid tracker for the index.
EUR | Debt - Senior - EUR,Debt - Senior - EUR,EUR,Debt - Senior,Europe,SRLN,AGG,Private Credit,0.85,0.002,0.25,"[0.0, 100.0]","[0.3, 100.0]",SPDR Blackstone Senior Loan ETF tracking senior secured leveraged loans. Proxy for non-US senior direct lending.,Market component: IEAC. Downloaded via Yahoo using IEAC as a liquid tracker for the index.
EUR | Eq - Buyout + Expansion - EUR,Eq - Buyout + Expansion - EUR,EUR,Eq - Buyout + Expansion,Europe,SCZ,VGK,Private Equity,0.7,0.005,0.3,"[0.0, 100.0]","[0.6, 100.0]",iShares MSCI EAFE Small-Cap ETF representing developed ex-US small-cap equities. Proxy for European and Nordic buyout exposure.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
EUR | Venture Capital - EUR,Venture Capital - EUR,EUR,Venture Capital,Europe,SMH,VGK,Private Equity,0.7,0.005,0.3,"[0.0, 100.0]","[0.6, 100.0]",VanEck Semiconductor ETF representing high-growth technology hardware sector. Proxy for non-US venture exposure.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
EUR | Infrastructure - EUR,Infrastructure - EUR,EUR,Infrastructure,Europe,IGF,VGK,Private Real Assets,0.75,0.004,0.35,"[0.0, 100.0]","[0.5, 100.0]",iShares Global Infrastructure ETF investing in listed infrastructure companies globally. Proxy for core infrastructure assets.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
EUR | Timber - EUR,Timber - EUR,EUR,Timber,Europe,CUT,VGK,Private Real Assets,0.75,0.004,0.35,"[0.0, 100.0]","[0.5, 100.0]",Invesco MSCI Global Timber ETF. Alternative proxy for global timber exposure.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
EUR | Real Estate - Ex-Value-Added - APAC - EUR,Real Estate - Ex-Value-Added - APAC - EUR,EUR,Real Estate - Ex-Value-Added - APAC,APAC,IASP.L,VPL,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares Asia Property Yield UCITS ETF. Proxy for APAC core real estate exposure.,Market component: VPL. Downloaded via Yahoo using VPL as a liquid tracker for the index.
EUR | Real Estate - Ex-Value-Added - Europe - EUR,Real Estate - Ex-Value-Added - Europe - EUR,EUR,Real Estate - Ex-Value-Added - Europe,Europe,IFGL,VGK,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares International Developed Real Estate ETF. Proxy for developed ex-US core real estate.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
EUR | Real Estate - Value-Added - Europe - EUR,Real Estate - Value-Added - Europe - EUR,EUR,Real Estate - Value-Added - Europe,Europe,RWX,VGK,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
EUR | Real Estate - All - UK - EUR,Real Estate - All - UK - EUR,EUR,Real Estate - All - UK,UK,RWX,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
EUR | Real Estate - Ex-Value-Added - UK - EUR,Real Estate - Ex-Value-Added - UK - EUR,EUR,Real Estate - Ex-Value-Added - UK,UK,IUKP.L,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares UK Property UCITS ETF. Proxy for UK core real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
EUR | Real Estate - Value-Added - UK - EUR,Real Estate - Value-Added - UK - EUR,EUR,Real Estate - Value-Added - UK,UK,RWX,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
EUR | Real Estate - All - USA - EUR,Real Estate - All - USA - EUR,EUR,Real Estate - All - USA,US,VNQ,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",Vanguard US Real Estate ETF representing US REITs. Proxy for core US real estate exposure.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
EUR | Real Estate - Ex-Value-Added - USA - EUR,Real Estate - Ex-Value-Added - USA - EUR,EUR,Real Estate - Ex-Value-Added - USA,US,VNQ,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",Vanguard US Real Estate ETF representing US REITs. Proxy for core US real estate exposure.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
