asset_label,asset_name,currency,base_name,region,etp_ticker,broad_index_ticker,fund_type,lambda_init,alpha_init,psi_init,beta_c_bounds,beta_bounds,etp_description,broad_index_description
EUR | Real Estate - Value-Added - USA - EUR,Real Estate - Value-Added - USA - EUR,EUR,Real Estate - Value-Added - USA,US,IYR,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares US Real Estate ETF with higher beta. Proxy for value-added US real estate strategies.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
GBP | Debt - Mezzanine - GBP,Debt - Mezzanine - GBP,GBP,Debt - Mezzanine,UK,HYG,AGG,Private Credit,0.85,0.002,0.25,"[0.0, 100.0]","[0.3, 100.0]",iShares iBoxx High Yield Corporate Bond ETF representing below-investment-grade corporate credit. Proxy for mezzanine private credit outside the US.,Market component: IGIL. Downloaded via Yahoo using IGIL as a liquid tracker for the index.
GBP | Debt - Senior - GBP,Debt - Senior - GBP,GBP,Debt - Senior,UK,SRLN,AGG,Private Credit,0.85,0.002,0.25,"[0.0, 100.0]","[0.3, 100.0]",SPDR Blackstone Senior Loan ETF tracking senior secured leveraged loans. Proxy for non-US senior direct lending.,Market component: IGIL. Downloaded via Yahoo using IGIL as a liquid tracker for the index.
GBP | Eq - Buyout + Expansion - GBP,Eq - Buyout + Expansion - GBP,GBP,Eq - Buyout + Expansion,UK,EWUS,EWU,Private Equity,0.7,0.005,0.3,"[0.0, 100.0]","[0.6, 100.0]",iShares MSCI UK Small-Cap ETF. Proxy for UK buyout strategies.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
GBP | Venture Capital - GBP,Venture Capital - GBP,GBP,Venture Capital,UK,SMH,EWU,Private Equity,0.7,0.005,0.3,"[0.0, 100.0]","[0.6, 100.0]",VanEck Semiconductor ETF representing high-growth technology hardware sector. Proxy for non-US venture exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
GBP | Infrastructure - GBP,Infrastructure - GBP,GBP,Infrastructure,UK,IGF,EWU,Private Real Assets,0.75,0.004,0.35,"[0.0, 100.0]","[0.5, 100.0]",iShares Global Infrastructure ETF investing in listed infrastructure companies globally. Proxy for core infrastructure assets.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
GBP | Timber - GBP,Timber - GBP,GBP,Timber,UK,CUT,EWU,Private Real Assets,0.75,0.004,0.35,"[0.0, 100.0]","[0.5, 100.0]",Invesco MSCI Global Timber ETF. Alternative proxy for global timber exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
GBP | Real Estate - Ex-Value-Added - APAC - GBP,Real Estate - Ex-Value-Added - APAC - GBP,GBP,Real Estate - Ex-Value-Added - APAC,APAC,IASP.L,VPL,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares Asia Property Yield UCITS ETF. Proxy for APAC core real estate exposure.,Market component: VPL. Downloaded via Yahoo using VPL as a liquid tracker for the index.
GBP | Real Estate - Ex-Value-Added - Europe - GBP,Real Estate - Ex-Value-Added - Europe - GBP,GBP,Real Estate - Ex-Value-Added - Europe,Europe,IFGL,VGK,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares International Developed Real Estate ETF. Proxy for developed ex-US core real estate.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
GBP | Real Estate - Value-Added - Europe - GBP,Real Estate - Value-Added - Europe - GBP,GBP,Real Estate - Value-Added - Europe,Europe,RWX,VGK,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
GBP | Real Estate - All - UK - GBP,Real Estate - All - UK - GBP,GBP,Real Estate - All - UK,UK,RWX,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
GBP | Real Estate - Ex-Value-Added - UK - GBP,Real Estate - Ex-Value-Added - UK - GBP,GBP,Real Estate - Ex-Value-Added - UK,UK,IUKP.L,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares UK Property UCITS ETF. Proxy for UK core real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
GBP | Real Estate - Value-Added - UK - GBP,Real Estate - Value-Added - UK - GBP,GBP,Real Estate - Value-Added - UK,UK,RWX,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
GBP | Real Estate - All - USA - GBP,Real Estate - All - USA - GBP,GBP,Real Estate - All - USA,US,VNQ,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",Vanguard US Real Estate ETF representing US REITs. Proxy for core US real estate exposure.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
GBP | Real Estate - Ex-Value-Added - USA - GBP,Real Estate - Ex-Value-Added - USA - GBP,GBP,Real Estate - Ex-Value-Added - USA,US,VNQ,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",Vanguard US Real Estate ETF representing US REITs. Proxy for core US real estate exposure.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
GBP | Real Estate - Value-Added - USA - GBP,Real Estate - Value-Added - USA - GBP,GBP,Real Estate - Value-Added - USA,US,IYR,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares US Real Estate ETF with higher beta. Proxy for value-added US real estate strategies.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
SEK | Debt - Mezzanine - SEK,Debt - Mezzanine - SEK,SEK,Debt - Mezzanine,Nordic,HYG,EWD,Private Credit,0.85,0.002,0.25,"[0.0, 100.0]","[0.3, 100.0]",iShares iBoxx High Yield Corporate Bond ETF representing below-investment-grade corporate credit. Proxy for mezzanine private credit outside the US.,Market component: EWD. Downloaded via Yahoo using EWD as a liquid tracker for the index.
SEK | Debt - Senior - SEK,Debt - Senior - SEK,SEK,Debt - Senior,Nordic,SRLN,EWD,Private Credit,0.85,0.002,0.25,"[0.0, 100.0]","[0.3, 100.0]",SPDR Blackstone Senior Loan ETF tracking senior secured leveraged loans. Proxy for non-US senior direct lending.,Market component: EWD. Downloaded via Yahoo using EWD as a liquid tracker for the index.
SEK | Eq - Buyout + Expansion - SEK,Eq - Buyout + Expansion - SEK,SEK,Eq - Buyout + Expansion,Nordic,EWD,ACWI,Private Equity,0.7,0.005,0.3,"[0.0, 100.0]","[0.6, 100.0]",Publicly traded ETF used as idiosyncratic proxy for private asset exposure.,Market component: EWD. Downloaded via Yahoo using ACWI as a liquid tracker for the index.
SEK | Venture Capital - SEK,Venture Capital - SEK,SEK,Venture Capital,Nordic,SMH,EWD,Private Equity,0.7,0.005,0.3,"[0.0, 100.0]","[0.6, 100.0]",VanEck Semiconductor ETF representing high-growth technology hardware sector. Proxy for non-US venture exposure.,Market component: EWD. Downloaded via Yahoo using EWD as a liquid tracker for the index.
SEK | Infrastructure - SEK,Infrastructure - SEK,SEK,Infrastructure,Nordic,IGF,EWD,Private Real Assets,0.75,0.004,0.35,"[0.0, 100.0]","[0.5, 100.0]",iShares Global Infrastructure ETF investing in listed infrastructure companies globally. Proxy for core infrastructure assets.,Market component: EWD. Downloaded via Yahoo using EWD as a liquid tracker for the index.
SEK | Timber - SEK,Timber - SEK,SEK,Timber,Nordic,WOOD,EWD,Private Real Assets,0.75,0.004,0.35,"[0.0, 100.0]","[0.5, 100.0]",iShares Global Timber & Forestry ETF. Proxy for timberland and forestry assets.,Market component: EWD. Downloaded via Yahoo using EWD as a liquid tracker for the index.
SEK | Real Estate - Ex-Value-Added - APAC - SEK,Real Estate - Ex-Value-Added - APAC - SEK,SEK,Real Estate - Ex-Value-Added - APAC,APAC,IASP.L,VPL,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares Asia Property Yield UCITS ETF. Proxy for APAC core real estate exposure.,Market component: VPL. Downloaded via Yahoo using VPL as a liquid tracker for the index.
SEK | Real Estate - Ex-Value-Added - Europe - SEK,Real Estate - Ex-Value-Added - Europe - SEK,SEK,Real Estate - Ex-Value-Added - Europe,Europe,IFGL,VGK,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares International Developed Real Estate ETF. Proxy for developed ex-US core real estate.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
SEK | Real Estate - Value-Added - Europe - SEK,Real Estate - Value-Added - Europe - SEK,SEK,Real Estate - Value-Added - Europe,Europe,RWX,VGK,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
SEK | Real Estate - All - UK - SEK,Real Estate - All - UK - SEK,SEK,Real Estate - All - UK,UK,RWX,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
SEK | Real Estate - Ex-Value-Added - UK - SEK,Real Estate - Ex-Value-Added - UK - SEK,SEK,Real Estate - Ex-Value-Added - UK,UK,IUKP.L,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares UK Property UCITS ETF. Proxy for UK core real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
SEK | Real Estate - Value-Added - UK - SEK,Real Estate - Value-Added - UK - SEK,SEK,Real Estate - Value-Added - UK,UK,RWX,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
SEK | Real Estate - All - USA - SEK,Real Estate - All - USA - SEK,SEK,Real Estate - All - USA,US,VNQ,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",Vanguard US Real Estate ETF representing US REITs. Proxy for core US real estate exposure.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
SEK | Real Estate - Ex-Value-Added - USA - SEK,Real Estate - Ex-Value-Added - USA - SEK,SEK,Real Estate - Ex-Value-Added - USA,US,VNQ,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",Vanguard US Real Estate ETF representing US REITs. Proxy for core US real estate exposure.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
SEK | Real Estate - Value-Added - USA - SEK,Real Estate - Value-Added - USA - SEK,SEK,Real Estate - Value-Added - USA,US,IYR,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares US Real Estate ETF with higher beta. Proxy for value-added US real estate strategies.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
USD | Debt - Mezzanine - USD,Debt - Mezzanine - USD,USD,Debt - Mezzanine,US,BIZD,AGG,Private Credit,0.85,0.002,0.25,"[0.0, 100.0]","[0.3, 100.0]",VanEck BDC Income ETF investing in business development companies lending to middle-market firms. Proxy for US mezzanine private credit.,Market component: AGG. Downloaded via Yahoo using AGG as a liquid tracker for the index.
USD | Debt - Senior - USD,Debt - Senior - USD,USD,Debt - Senior,US,BKLN,AGG,Private Credit,0.85,0.002,0.25,"[0.0, 100.0]","[0.3, 100.0]",Invesco Senior Loan ETF tracking senior secured floating-rate leveraged loans. Used as idiosyncratic proxy for senior private credit.,Market component: AGG. Downloaded via Yahoo using AGG as a liquid tracker for the index.
USD | Eq - Buyout + Expansion - USD,Eq - Buyout + Expansion - USD,USD,Eq - Buyout + Expansion,US,IWM,SPY,Private Equity,0.7,0.005,0.3,"[0.0, 100.0]","[0.6, 100.0]",iShares Russell 2000 ETF representing US small-cap equities. Proxy for buyout funds targeting mid-sized companies.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
USD | Venture Capital - USD,Venture Capital - USD,USD,Venture Capital,US,FPX,SPY,Private Equity,0.7,0.005,0.3,"[0.0, 100.0]","[0.6, 100.0]",First Trust IPOX-100 ETF tracking recent IPOs. Proxy for US venture capital exit dynamics.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
USD | Infrastructure - USD,Infrastructure - USD,USD,Infrastructure,US,PAVE,SPY,Private Real Assets,0.75,0.004,0.35,"[0.0, 100.0]","[0.5, 100.0]",Global X US Infrastructure Development ETF. Proxy for US infrastructure and industrial exposure.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
USD | Timber - USD,Timber - USD,USD,Timber,US,WOOD,SPY,Private Real Assets,0.75,0.004,0.35,"[0.0, 100.0]","[0.5, 100.0]",iShares Global Timber & Forestry ETF. Proxy for timberland and forestry assets.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
USD | Real Estate - Ex-Value-Added - APAC - USD,Real Estate - Ex-Value-Added - APAC - USD,USD,Real Estate - Ex-Value-Added - APAC,APAC,IASP.L,VPL,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares Asia Property Yield UCITS ETF. Proxy for APAC core real estate exposure.,Market component: VPL. Downloaded via Yahoo using VPL as a liquid tracker for the index.
USD | Real Estate - Ex-Value-Added - Europe - USD,Real Estate - Ex-Value-Added - Europe - USD,USD,Real Estate - Ex-Value-Added - Europe,Europe,IFGL,VGK,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares International Developed Real Estate ETF. Proxy for developed ex-US core real estate.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
USD | Real Estate - Value-Added - Europe - USD,Real Estate - Value-Added - Europe - USD,USD,Real Estate - Value-Added - Europe,Europe,RWX,VGK,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: VGK. Downloaded via Yahoo using VGK as a liquid tracker for the index.
USD | Real Estate - All - UK - USD,Real Estate - All - UK - USD,USD,Real Estate - All - UK,UK,RWX,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
USD | Real Estate - Ex-Value-Added - UK - USD,Real Estate - Ex-Value-Added - UK - USD,USD,Real Estate - Ex-Value-Added - UK,UK,IUKP.L,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares UK Property UCITS ETF. Proxy for UK core real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
USD | Real Estate - Value-Added - UK - USD,Real Estate - Value-Added - UK - USD,USD,Real Estate - Value-Added - UK,UK,RWX,EWU,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",SPDR Dow Jones International Real Estate ETF. Proxy for value-added international real estate exposure.,Market component: EWU. Downloaded via Yahoo using EWU as a liquid tracker for the index.
USD | Real Estate - All - USA - USD,Real Estate - All - USA - USD,USD,Real Estate - All - USA,US,VNQ,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",Vanguard US Real Estate ETF representing US REITs. Proxy for core US real estate exposure.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
USD | Real Estate - Ex-Value-Added - USA - USD,Real Estate - Ex-Value-Added - USA - USD,USD,Real Estate - Ex-Value-Added - USA,US,VNQ,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",Vanguard US Real Estate ETF representing US REITs. Proxy for core US real estate exposure.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.
USD | Real Estate - Value-Added - USA - USD,Real Estate - Value-Added - USA - USD,USD,Real Estate - Value-Added - USA,US,IYR,SPY,Private Real Estate,0.8,0.003,0.4,"[0.0, 100.0]","[0.4, 100.0]",iShares US Real Estate ETF with higher beta. Proxy for value-added US real estate strategies.,Market component: SPY. Downloaded via Yahoo using SPY as a liquid tracker for the index.